1,1,16,32,639295,639295,0,2918170710,Flat Combining,Spin Parker
2,2,16,32,778543,778543,0,536767350,Flat Combining,Spin Parker
3,3,16,32,800284,800284,0,203789580,Flat Combining,Spin Parker
4,4,16,32,777070,777070,0,1080656340,Flat Combining,Spin Parker
5,5,16,32,774741,774741,0,1094155350,Flat Combining,Spin Parker
6,6,16,32,784016,784016,0,856995480,Flat Combining,Spin Parker
7,7,16,32,793566,793566,0,528806070,Flat Combining,Spin Parker
8,8,16,32,795768,795768,0,451394730,Flat Combining,Spin Parker
9,9,16,32,802682,802682,0,201910080,Flat Combining,Spin Parker
10,10,16,32,794391,794391,0,489731340,Flat Combining,Spin Parker
11,11,16,32,797476,797476,0,374730630,Flat Combining,Spin Parker
12,12,16,32,793464,793464,0,530492610,Flat Combining,Spin Parker
13,13,16,32,794474,794474,0,497323500,Flat Combining,Spin Parker
14,14,16,32,795090,795090,0,458355600,Flat Combining,Spin Parker
15,15,16,32,798327,798327,0,350684100,Flat Combining,Spin Parker
Id,CpuId,ThreadNum,CpuNum,LoopCount,NumAcquire,HoldTime,CombineTime,Locktype,WaiterType
0,0,16,32,221924,221924,0,286900560,Flat Combining,BlockParker
1,1,16,32,117936,117936,0,6794247510,Flat Combining,BlockParker
2,2,16,32,113680,113680,0,7042287660,Flat Combining,BlockParker
3,3,16,32,226358,226358,0,10281450,Flat Combining,BlockParker
4,4,16,32,226483,226483,0,3444510,Flat Combining,BlockParker
5,5,16,32,226434,226434,0,4597080,Flat Combining,BlockParker
6,6,16,32,226496,226496,0,1870380,Flat Combining,BlockParker
7,7,16,32,226493,226493,0,2006790,Flat Combining,BlockParker
8,8,16,32,226501,226501,0,998400,Flat Combining,BlockParker
9,9,16,32,226488,226488,0,1370430,Flat Combining,BlockParker
10,10,16,32,226502,226502,0,508320,Flat Combining,BlockParker
11,11,16,32,226489,226489,0,1762560,Flat Combining,BlockParker
12,12,16,32,226498,226498,0,642960,Flat Combining,BlockParker
13,13,16,32,226489,226489,0,1795590,Flat Combining,BlockParker
14,14,16,32,226491,226491,0,1193070,Flat Combining,BlockParker
15,15,16,32,226495,226495,0,768720,Flat Combining,BlockParker
Id,CpuId,ThreadNum,CpuNum,LoopCount,NumAcquire,HoldTime,CombineTime,Locktype,WaiterType
0,0,16,32,444763,444763,0,3244344690,Flat Combining Fair,Spin Parker
1,1,16,32,476753,476753,0,2452811190,Flat Combining Fair,Spin Parker
